,HQ3
1804,0
1805,3
1806,0
1807,3
1808,0
1809,14
1810,0
1811,3
1812,0
1813,10
1814,14
1815,0
1816,7
1817,14
1818,0
1819,0
1820,0
1821,7
1822,7
1823,7
1824,0
1825,0
1826,7
1827,14
1828,14
1829,10
1830,13
1831,3
1832,0
1833,7
1834,0
1835,0
1836,0
1837,3
1838,10
1839,10
1840,3
1841,7
1842,7
1843,7
1844,6
1845,3
1846,0
1847,14
1848,0
1849,0
1850,2
1851,15
1852,3
1853,14
1854,3
1855,3
1856,7
1857,7
1858,3
1859,7
1860,7
1861,0
1862,7
1863,7
1864,0
1865,14
1866,14
1867,7
1868,3
1869,0
1870,0
1871,7
1872,7
1873,14
1874,7
1875,3
1876,0
1877,7
1878,7
1879,0
1880,3
1881,0
1882,0
1883,7
1884,3
1885,3
1886,3
1887,3
1888,14
1889,7
1890,0
1891,7
1892,3
1893,0
1894,7
1895,0
1896,0
1897,7
1898,0
1899,7
1900,7
1901,3
1902,7
1903,21
1904,3
1905,0
1906,3
1907,10
1908,3
1909,0
1910,14
1911,7
1912,0
1913,9
1914,3
1915,0
1916,6
1917,14
1918,7
1919,2
1920,0
1921,7
1922,7
1923,10
1924,7
1925,0
1926,7
1927,3
1928,7
1929,0
1930,0
1931,3
1932,10
1933,0
1934,7
1935,6
1936,0
1937,3
1938,7
1939,7
1940,0
1941,0
1942,10
1943,7
1944,0
1945,0
1946,3
1947,7
1948,7
1949,7
1950,7
1951,0
1952,14
1953,13
1954,7
1955,7
1956,3
1957,0
1958,7
1959,0
1960,3
1961,3
1962,7
1963,10
1964,0
1965,0
1966,3
1967,14
1968,3
1969,0
1970,7
1971,0
1972,14
1973,14
1974,3
1975,0
1976,0
1977,14
1978,7
1979,3
1980,0
1981,3
1982,3
1983,3
1984,0
1985,14
1986,7
1987,7
1988,0
1989,3
1990,3
1991,0
1992,0
1993,7
1994,0
1995,0
1996,0
1997,7
1998,7
1999,0
2000,7
2001,7
2002,14
2003,7
2004,3
2005,0
2006,3
2007,0
2008,7
2009,0
2010,7
2011,3
2012,7
2013,3
2014,3
2015,0
2016,7
2017,0
2018,14
2019,0
2020,3
2021,3
2022,0
2023,3
2024,0
2025,7
2026,14
2027,0
2028,0
2029,0
2030,0
2031,0
2032,7
2033,7
2034,14
2035,0
2036,0
2037,7
2038,7
2039,10
2040,7
2041,3
2042,7
2043,7
2044,7
2045,7
2046,7
2047,0
2048,7
2049,6
2050,17
2051,3
2052,7
2053,10
2054,7
2055,0
2056,14
2057,17
2058,3
2059,0
2060,0
2061,7
2062,6
2063,3
2064,0
2065,0
2066,0
2067,0
2068,0
2069,10
2070,7
2071,3
2072,0
2073,3
2074,10
2075,7
2076,6
2077,7
2078,3
2079,3
2080,0
2081,7
2082,7
2083,0
2084,14
