,Team,Clump,Estimator,params,accuracy,HV
278,Panthers,0,GradientBoostingClassifier(),,0.6190476190476191,H
279,Panthers,1,LogisticRegression(),,0.7619047619047619,H
280,Panthers,1,KNeighborsClassifier(),,0.7619047619047619,H
281,Panthers,1,BaggingClassifier(),,0.7619047619047619,H
282,Panthers,1,RandomForestClassifier(),,0.7619047619047619,H
283,Panthers,1,ExtraTreesClassifier(),,0.7619047619047619,H
284,Panthers,1,DecisionTreeClassifier(),,0.7619047619047619,H
285,Panthers,1,AdaBoostClassifier(),,0.7619047619047619,H
286,Panthers,1,MultinomialNB(),,0.7619047619047619,H
287,Panthers,1,GradientBoostingClassifier(),,0.7619047619047619,H
288,Panthers,2,LogisticRegression(),,0.5476190476190477,H
289,Panthers,2,KNeighborsClassifier(),,0.5714285714285714,H
290,Panthers,2,BaggingClassifier(),,0.5952380952380952,H
291,Panthers,2,RandomForestClassifier(),,0.5952380952380952,H
292,Panthers,2,ExtraTreesClassifier(),,0.5476190476190477,H
293,Panthers,2,DecisionTreeClassifier(),,0.5476190476190477,H
294,Panthers,2,AdaBoostClassifier(),,0.5952380952380952,H
295,Panthers,2,MultinomialNB(),,0.5476190476190477,H
296,Panthers,2,GradientBoostingClassifier(),,0.5952380952380952,H
297,Panthers,3,LogisticRegression(),,0.6428571428571429,H
298,Panthers,3,KNeighborsClassifier(),,0.6666666666666666,H
299,Panthers,3,BaggingClassifier(),,0.6428571428571429,H
300,Panthers,3,RandomForestClassifier(),,0.6428571428571429,H
301,Panthers,3,ExtraTreesClassifier(),,0.6428571428571429,H
302,Panthers,3,DecisionTreeClassifier(),,0.6428571428571429,H
303,Panthers,3,AdaBoostClassifier(),,0.6428571428571429,H
304,Panthers,3,MultinomialNB(),,0.6428571428571429,H
305,Panthers,3,GradientBoostingClassifier(),,0.6428571428571429,H
306,Panthers,4,LogisticRegression(),,0.7619047619047619,H
307,Panthers,4,KNeighborsClassifier(),,0.7142857142857143,H
308,Panthers,4,BaggingClassifier(),,0.7142857142857143,H
309,Panthers,4,RandomForestClassifier(),,0.7619047619047619,H
310,Panthers,4,ExtraTreesClassifier(),,0.7619047619047619,H
311,Panthers,4,DecisionTreeClassifier(),,0.7619047619047619,H
312,Panthers,4,AdaBoostClassifier(),,0.7142857142857143,H
313,Panthers,4,MultinomialNB(),,0.7619047619047619,H
314,Panthers,4,GradientBoostingClassifier(),,0.7619047619047619,H
315,Panthers,5,LogisticRegression(),,0.8571428571428571,H
316,Panthers,5,KNeighborsClassifier(),,0.7857142857142857,H
317,Panthers,5,BaggingClassifier(),,0.8571428571428571,H
318,Panthers,5,RandomForestClassifier(),,0.8571428571428571,H
319,Panthers,5,ExtraTreesClassifier(),,0.8333333333333334,H
320,Panthers,5,DecisionTreeClassifier(),,0.8333333333333334,H
321,Panthers,5,AdaBoostClassifier(),,0.7619047619047619,H
322,Panthers,5,MultinomialNB(),,0.8571428571428571,H
323,Panthers,5,GradientBoostingClassifier(),,0.8333333333333334,H
324,Panthers,6,LogisticRegression(),,0.6904761904761905,H
325,Panthers,6,KNeighborsClassifier(),,0.6428571428571429,H
326,Panthers,6,BaggingClassifier(),,0.6428571428571429,H
327,Panthers,6,RandomForestClassifier(),,0.6904761904761905,H
328,Panthers,6,ExtraTreesClassifier(),,0.7142857142857143,H
329,Panthers,6,DecisionTreeClassifier(),,0.6904761904761905,H
330,Panthers,6,AdaBoostClassifier(),,0.6904761904761905,H
331,Panthers,6,MultinomialNB(),,0.7142857142857143,H
332,Panthers,6,GradientBoostingClassifier(),,0.7142857142857143,H
333,Panthers,7,LogisticRegression(),,0.7142857142857143,H
334,Panthers,7,KNeighborsClassifier(),,0.6428571428571429,H
335,Panthers,7,BaggingClassifier(),,0.5952380952380952,H
336,Panthers,7,RandomForestClassifier(),,0.6904761904761905,H
337,Panthers,7,ExtraTreesClassifier(),,0.6666666666666666,H
338,Panthers,7,DecisionTreeClassifier(),,0.6666666666666666,H
339,Panthers,7,AdaBoostClassifier(),,0.5952380952380952,H
340,Panthers,7,MultinomialNB(),,0.7619047619047619,H
341,Panthers,7,GradientBoostingClassifier(),,0.7142857142857143,H
342,Panthers,8,LogisticRegression(),,0.6666666666666666,H
343,Panthers,8,KNeighborsClassifier(),,0.6190476190476191,H
344,Panthers,8,BaggingClassifier(),,0.6428571428571429,H
345,Panthers,8,RandomForestClassifier(),,0.6666666666666666,H
346,Panthers,8,ExtraTreesClassifier(),,0.6666666666666666,H
347,Panthers,8,DecisionTreeClassifier(),,0.6666666666666666,H
348,Panthers,8,AdaBoostClassifier(),,0.6190476190476191,H
349,Panthers,8,MultinomialNB(),,0.6666666666666666,H
350,Panthers,8,GradientBoostingClassifier(),,0.6428571428571429,H
351,Panthers,9,LogisticRegression(),,0.8809523809523809,H
352,Panthers,9,KNeighborsClassifier(),,0.7619047619047619,H
353,Panthers,9,BaggingClassifier(),,0.8809523809523809,H
354,Panthers,9,RandomForestClassifier(),,0.8333333333333334,H
355,Panthers,9,ExtraTreesClassifier(),,0.8809523809523809,H
356,Panthers,9,DecisionTreeClassifier(),,0.8809523809523809,H
357,Panthers,9,AdaBoostClassifier(),,0.8809523809523809,H
358,Panthers,9,MultinomialNB(),,0.8333333333333334,H
359,Panthers,9,GradientBoostingClassifier(),,0.8333333333333334,H
360,Panthers,10,LogisticRegression(),,0.8571428571428571,H
361,Panthers,10,KNeighborsClassifier(),,0.6904761904761905,H
362,Panthers,10,BaggingClassifier(),,0.8571428571428571,H
363,Panthers,10,RandomForestClassifier(),,0.8333333333333334,H
364,Panthers,10,ExtraTreesClassifier(),,0.9047619047619048,H
365,Panthers,10,DecisionTreeClassifier(),,0.8809523809523809,H
366,Panthers,10,AdaBoostClassifier(),,0.5714285714285714,H
367,Panthers,10,MultinomialNB(),,0.8571428571428571,H
368,Panthers,10,GradientBoostingClassifier(),,0.8571428571428571,H
369,Panthers,11,LogisticRegression(),,0.7142857142857143,H
370,Panthers,11,KNeighborsClassifier(),,0.6190476190476191,H
371,Panthers,11,BaggingClassifier(),,0.5952380952380952,H
372,Panthers,11,RandomForestClassifier(),,0.6666666666666666,H
373,Panthers,11,ExtraTreesClassifier(),,0.6428571428571429,H
374,Panthers,11,DecisionTreeClassifier(),,0.6190476190476191,H
375,Panthers,11,AdaBoostClassifier(),,0.6190476190476191,H
376,Panthers,11,MultinomialNB(),,0.7857142857142857,H
377,Panthers,11,GradientBoostingClassifier(),,0.6904761904761905,H
378,Panthers,12,LogisticRegression(),,0.8095238095238095,H
379,Panthers,12,KNeighborsClassifier(),,0.6904761904761905,H
380,Panthers,12,BaggingClassifier(),,0.7619047619047619,H
381,Panthers,12,RandomForestClassifier(),,0.8095238095238095,H
382,Panthers,12,ExtraTreesClassifier(),,0.8333333333333334,H
383,Panthers,12,DecisionTreeClassifier(),,0.7619047619047619,H
384,Panthers,12,AdaBoostClassifier(),,0.7619047619047619,H
385,Panthers,12,MultinomialNB(),,0.7857142857142857,H
386,Panthers,12,GradientBoostingClassifier(),,0.8333333333333334,H
387,Panthers,13,LogisticRegression(),,0.8809523809523809,H
388,Panthers,13,KNeighborsClassifier(),,0.7619047619047619,H
389,Panthers,13,BaggingClassifier(),,0.8095238095238095,H
390,Panthers,13,RandomForestClassifier(),,0.8333333333333334,H
391,Panthers,13,ExtraTreesClassifier(),,0.8571428571428571,H
392,Panthers,13,DecisionTreeClassifier(),,0.8571428571428571,H
393,Panthers,13,AdaBoostClassifier(),,0.8095238095238095,H
394,Panthers,13,MultinomialNB(),,0.8333333333333334,H
395,Panthers,13,GradientBoostingClassifier(),,0.8809523809523809,H
396,Panthers,14,LogisticRegression(),,0.8571428571428571,H
397,Panthers,14,KNeighborsClassifier(),,0.7142857142857143,H
398,Panthers,14,BaggingClassifier(),,0.8333333333333334,H
399,Panthers,14,RandomForestClassifier(),,0.9047619047619048,H
400,Panthers,14,ExtraTreesClassifier(),,0.9047619047619048,H
401,Panthers,14,DecisionTreeClassifier(),,0.8809523809523809,H
402,Panthers,14,AdaBoostClassifier(),,0.7380952380952381,H
403,Panthers,14,MultinomialNB(),,0.8809523809523809,H
404,Panthers,14,GradientBoostingClassifier(),,0.8571428571428571,H
405,49ers,0,LogisticRegression(),,0.6428571428571429,H
406,49ers,0,KNeighborsClassifier(),,0.6428571428571429,H
407,49ers,0,BaggingClassifier(),,0.6428571428571429,H
408,49ers,0,RandomForestClassifier(),,0.6428571428571429,H
409,49ers,0,ExtraTreesClassifier(),,0.6428571428571429,H
410,49ers,0,DecisionTreeClassifier(),,0.6428571428571429,H
411,49ers,0,AdaBoostClassifier(),,0.6428571428571429,H
412,49ers,0,MultinomialNB(),,0.6428571428571429,H
413,49ers,0,GradientBoostingClassifier(),,0.6428571428571429,H
414,49ers,1,LogisticRegression(),,0.6428571428571429,H
415,49ers,1,KNeighborsClassifier(),,0.5238095238095238,H
416,49ers,1,BaggingClassifier(),,0.6428571428571429,H
417,49ers,1,RandomForestClassifier(),,0.6428571428571429,H
418,49ers,1,ExtraTreesClassifier(),,0.6428571428571429,H
419,49ers,1,DecisionTreeClassifier(),,0.6428571428571429,H
420,49ers,1,AdaBoostClassifier(),,0.6428571428571429,H
421,49ers,1,MultinomialNB(),,0.6428571428571429,H
422,49ers,1,GradientBoostingClassifier(),,0.6428571428571429,H
423,49ers,2,LogisticRegression(),,0.6904761904761905,H
424,49ers,2,KNeighborsClassifier(),,0.4761904761904761,H
425,49ers,2,BaggingClassifier(),,0.6904761904761905,H
426,49ers,2,RandomForestClassifier(),,0.6904761904761905,H
