,Week,Clump,Estimator,params,accuracy
536,15,11,BaggingClassifier,NA,0.6875
537,15,12,BaggingClassifier,NA,0.7875
538,15,13,BaggingClassifier,NA,0.825
539,15,14,BaggingClassifier,NA,0.8125
540,16,0,BaggingClassifier,NA,0.5375
541,16,1,BaggingClassifier,NA,0.6125
542,16,2,BaggingClassifier,NA,0.6125
543,16,3,BaggingClassifier,NA,0.6125
544,16,4,BaggingClassifier,NA,0.6375
545,16,5,BaggingClassifier,NA,0.675
546,16,6,BaggingClassifier,NA,0.6625
547,16,7,BaggingClassifier,NA,0.55
548,16,8,BaggingClassifier,NA,0.5375
549,16,9,BaggingClassifier,NA,0.75
550,16,10,BaggingClassifier,NA,0.6375
551,16,11,BaggingClassifier,NA,0.5625
552,16,12,BaggingClassifier,NA,0.725
553,16,13,BaggingClassifier,NA,0.75
554,16,14,BaggingClassifier,NA,0.75
555,17,0,BaggingClassifier,NA,0.675
556,17,1,BaggingClassifier,NA,0.675
557,17,2,BaggingClassifier,NA,0.6875
558,17,3,BaggingClassifier,NA,0.7
559,17,4,BaggingClassifier,NA,0.65
560,17,5,BaggingClassifier,NA,0.7375
561,17,6,BaggingClassifier,NA,0.775
562,17,7,BaggingClassifier,NA,0.725
563,17,8,BaggingClassifier,NA,0.725
564,17,9,BaggingClassifier,NA,0.675
565,17,10,BaggingClassifier,NA,0.725
566,17,11,BaggingClassifier,NA,0.75
567,17,12,BaggingClassifier,NA,0.675
