GameID,Vteam,VQ1,VQ2,VQ3,VQ4,DateWeek,Year,Hteam,HQ1,HQ2,HQ3,HQ4
200012100cle,Eagles,7,14,14,0,12/10/2000,2000,Browns,0,14,0,10
200012100den,Seahawks,3,0,7,14,12/10/2000,2000,Broncos,7,7,10,7
200012100sfo,Saints,3,0,11,17,12/10/2000,2000,49ers,7,7,0,13
200012100dal,Redskins,0,7,0,6,12/10/2000,2000,Cowboys,6,6,10,10
200012100ram,Vikings,0,7,14,8,12/10/2000,2000,Rams,14,6,13,7
200012100rai,Jets,0,0,0,7,12/10/2000,2000,Raiders,0,21,0,10
200012110clt,Bills,3,3,6,8,12/11/2000,2000,Colts,3,6,14,21
200012160pit,Redskins,3,0,0,0,12/16/2000,2000,Steelers,0,17,0,7
200012160sea,Raiders,7,3,7,7,12/16/2000,2000,Seahawks,10,3,0,14
200012170kan,Broncos,0,7,0,0,12/17/2000,2000,Chiefs,3,0,7,10
200012170min,Packers,10,10,3,10,12/17/2000,2000,Vikings,7,7,7,7
200012170nyj,Lions,0,0,3,7,12/17/2000,2000,Jets,7,0,0,0
200012170cin,Jaguars,0,7,7,0,12/17/2000,2000,Bengals,0,0,7,10
200012170buf,Patriots,3,0,0,7,12/17/2000,2000,Bills,0,3,0,7
200012170nor,Falcons,0,0,7,0,12/17/2000,2000,Saints,0,13,7,3
200012170cle,Titans,10,7,0,7,12/17/2000,2000,Browns,0,0,0,0
200012170car,Chargers,2,14,6,0,12/17/2000,2000,Panthers,7,0,13,10
200012170sfo,Bears,0,0,0,0,12/17/2000,2000,49ers,7,3,7,0
200012170crd,Ravens,3,0,10,0,12/17/2000,2000,Cardinals,0,0,7,0
200012170mia,Colts,7,10,3,0,12/17/2000,2000,Dolphins,0,3,7,3
200012170dal,Giants,0,0,7,10,12/17/2000,2000,Cowboys,7,6,0,0
200012180tam,Rams,7,7,7,14,12/18/2000,2000,Buccaneers,10,14,7,7
200012230nyg,Jaguars,0,7,3,15,12/23/2000,2000,Giants,7,0,0,21
200012230den,49ers,0,0,0,9,12/23/2000,2000,Broncos,0,17,21,0
200012230sea,Bills,21,7,7,7,12/23/2000,2000,Seahawks,7,7,3,6
200012240was,Cardinals,0,3,0,0,12/24/2000,2000,Redskins,14,6,0,0
200012240det,Bears,0,6,7,10,12/24/2000,2000,Lions,10,0,0,10
200012240nwe,Dolphins,3,14,0,10,12/24/2000,2000,Patriots,7,14,3,0
200012240rav,Jets,14,0,3,3,12/24/2000,2000,Ravens,0,20,7,7
200012240gnb,Buccaneers,0,0,3,11,12/24/2000,2000,Packers,7,0,7,0
200012240nor,Rams,7,3,9,7,12/24/2000,2000,Saints,0,7,0,14
200012240phi,Bengals,0,0,0,7,12/24/2000,2000,Eagles,10,3,0,3
200012240atl,Chiefs,7,0,0,6,12/24/2000,2000,Falcons,7,6,6,10
200012240sdg,Steelers,7,17,0,10,12/24/2000,2000,Chargers,14,0,7,0
200012240clt,Vikings,7,3,0,0,12/24/2000,2000,Colts,7,14,7,3
200012240rai,Panthers,3,6,0,0,12/24/2000,2000,Raiders,7,17,14,14
200012250oti,Cowboys,0,0,0,0,12/25/2000,2000,Titans,7,0,24,0
200012300mia,Colts,3,11,0,3,12/30/2000,2000,Dolphins,0,0,7,10
200012300nor,Rams,7,0,0,21,12/30/2000,2000,Saints,0,10,7,14
200012310rav,Broncos,0,3,0,0,12/31/2000,2000,Ravens,0,14,7,0
200012310phi,Buccaneers,0,3,0,0,12/31/2000,2000,Eagles,0,14,0,7
200101060min,Saints,3,0,7,6,1/6/2001,2001,Vikings,10,7,10,7
200101060rai,Dolphins,0,0,0,0,1/6/2001,2001,Raiders,10,10,7,0
200101070oti,Ravens,0,7,3,14,1/7/2001,2001,Titans,7,0,3,0
200101070nyg,Eagles,0,3,0,7,1/7/2001,2001,Giants,7,10,0,3
200101140nyg,Vikings,0,0,0,0,1/14/2001,2001,Giants,14,20,7,0
200101140rai,Ravens,0,10,3,3,1/14/2001,2001,Raiders,0,0,3,0
200101280nyg,Ravens,7,3,14,10,1/28/2001,2001,Giants,0,0,7,0
200109090kan,Raiders,6,0,8,13,9/9/2001,2001,Chiefs,7,7,3,7
200109090gnb,Lions,3,3,0,0,9/9/2001,2001,Packers,21,0,7,0
200109090dal,Buccaneers,3,0,0,7,9/9/2001,2001,Cowboys,3,0,3,0
200109090min,Panthers,7,3,7,7,9/9/2001,2001,Vikings,0,0,13,0
200109090cle,Seahawks,0,3,3,3,9/9/2001,2001,Browns,0,3,0,3
200109090rav,Bears,3,0,3,0,9/9/2001,2001,Ravens,0,3,7,7
200109090cin,Patriots,0,10,0,7,9/9/2001,2001,Bengals,0,10,13,0
200109090nyj,Colts,3,28,7,7,9/9/2001,2001,Jets,7,7,3,7
200109090jax,Steelers,0,3,0,0,9/9/2001,2001,Jaguars,0,21,0,0
200109090buf,Saints,0,0,17,7,9/9/2001,2001,Bills,3,3,0,0
200109090sfo,Falcons,7,3,3,0,9/9/2001,2001,49ers,0,3,0,10
200109090sdg,Redskins,0,0,3,0,9/9/2001,2001,Chargers,10,10,0,10
200109090phi,Rams,7,7,3,0,9/9/2001,2001,Eagles,3,0,0,14
200109090oti,Dolphins,10,7,7,7,9/9/2001,2001,Titans,0,7,7,9
200109100den,Giants,0,7,7,6,9/10/2001,2001,Broncos,7,7,7,10
200109230kan,Giants,3,10,0,0,9/23/2001,2001,Chiefs,0,0,3,0
200109230chi,Vikings,3,0,7,0,9/23/2001,2001,Bears,0,0,3,14
200109230clt,Bills,7,10,3,6,9/23/2001,2001,Colts,14,21,7,0
200109230mia,Raiders,3,3,3,6,9/23/2001,2001,Dolphins,0,7,3,8
200109230jax,Titans,3,3,0,0,9/23/2001,2001,Jaguars,3,7,3,0
200109230cin,Ravens,3,0,0,7,9/23/2001,2001,Bengals,0,0,14,7
200109230atl,Panthers,3,7,3,3,9/23/2001,2001,Falcons,7,3,7,7
200109230dal,Chargers,14,6,6,6,9/23/2001,2001,Cowboys,0,14,0,7
200109230cle,Lions,0,0,7,7,9/23/2001,2001,Browns,7,7,10,0
200109230nwe,Jets,0,3,7,0,9/23/2001,2001,Patriots,3,0,0,0
200109230sea,Eagles,3,14,0,10,9/23/2001,2001,Seahawks,0,3,0,0
200109230sfo,Rams,9,3,10,8,9/23/2001,2001,49ers,0,16,0,10
200109230crd,Broncos,0,17,14,7,9/23/2001,2001,Cardinals,3,7,0,7
200109240gnb,Redskins,0,0,0,0,9/24/2001,2001,Packers,7,3,10,17
200109300ram,Dolphins,7,3,0,0,9/30/2001,2001,Rams,7,14,7,14
200109300min,Buccaneers,3,3,3,7,9/30/2001,2001,Vikings,7,3,3,7
200109300was,Chiefs,0,28,7,10,9/30/2001,2001,Redskins,3,7,3,0
200109300car,Packers,0,6,15,7,9/30/2001,2001,Panthers,0,7,0,0
200109300nwe,Colts,0,0,7,6,9/30/2001,2001,Patriots,7,13,3,21
200109300buf,Steelers,7,3,0,10,9/30/2001,2001,Bills,0,3,0,0
200109300nyg,Saints,0,3,0,10,9/30/2001,2001,Giants,0,14,0,7
200109300crd,Falcons,10,3,7,14,9/30/2001,2001,Cardinals,0,0,7,7
200109300rai,Seahawks,0,0,7,7,9/30/2001,2001,Raiders,7,17,14,0
200109300den,Ravens,3,3,7,7,9/30/2001,2001,Broncos,10,0,3,0
200109300sdg,Bengals,0,7,0,7,9/30/2001,2001,Chargers,0,7,14,7
200109300jax,Browns,3,10,0,10,9/30/2001,2001,Jaguars,0,0,14,0
200109300phi,Cowboys,6,0,0,12,9/30/2001,2001,Eagles,7,26,7,0
200110010nyj,49ers,0,13,3,3,10/1/2001,2001,Jets,7,0,3,7
200110070nor,Vikings,7,0,8,0,10/7/2001,2001,Saints,6,9,10,3
200110070rav,Titans,0,0,7,0,10/7/2001,2001,Ravens,7,10,3,6
200110070cle,Chargers,3,0,7,6,10/7/2001,2001,Browns,0,10,0,10
200110070pit,Bengals,0,0,0,7,10/7/2001,2001,Steelers,0,10,0,6
200110070mia,Patriots,7,3,0,0,10/7/2001,2001,Dolphins,7,10,10,3
200110070nyg,Redskins,3,3,3,0,10/7/2001,2001,Giants,3,6,0,14
200110070atl,Bears,0,10,0,21,10/7/2001,2001,Falcons,0,0,0,3
200110070phi,Cardinals,14,0,0,7,10/7/2001,2001,Eagles,7,10,0,3
200110070rai,Cowboys,0,7,7,7,10/7/2001,2001,Raiders,7,14,7,0
200110070den,Chiefs,0,6,0,0,10/7/2001,2001,Broncos,7,3,3,7
200110070buf,Jets,21,7,14,0,10/7/2001,2001,Bills,6,9,7,14
200110070sea,Jaguars,3,9,3,0,10/7/2001,2001,Seahawks,14,7,0,3
200110070tam,Packers,0,7,3,0,10/7/2001,2001,Buccaneers,0,7,0,7
200110070sfo,Panthers,0,7,7,0,10/7/2001,2001,49ers,0,10,14,0
200110080det,Rams,7,14,0,14,10/8/2001,2001,Lions,0,0,0,0
200110140kan,Steelers,0,6,14,0,10/14/2001,2001,Chiefs,0,2,0,15
200110140ram,Giants,7,0,0,7,10/14/2001,2001,Rams,6,3,0,6
200110140chi,Cardinals,0,6,0,7,10/14/2001,2001,Bears,3,10,7,0
200110140min,Lions,3,3,7,13,10/14/2001,2001,Vikings,7,17,7,0
200110140cin,Browns,7,0,0,7,10/14/2001,2001,Bengals,3,0,10,11
